stara_url,nova_url,typ,poznamka
/katalog-produktov/kategoria/prenosne-radiostanice,/katalog-produktov/kategoria/prenosne-radiostanice-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/kategoria/radiostanice,/katalog-produktov/kategoria/radiostanice-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/kategoria/vozidlove-radiostanice,/katalog-produktov/kategoria/vozidlove-radiostanice-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/kategoria/prevadzace,/katalog-produktov/kategoria/prevadzace-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/motorola-dr3000,/katalog-produktov/motorola-dr3000-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/motorola-mtr3000,/katalog-produktov/motorola-mtr3000-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmnn4254,/katalog-produktov/pmnn4254-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmnn4253,/katalog-produktov/pmnn4253-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmnn4251,/katalog-produktov/pmnn4251-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/wpln4199,/katalog-produktov/wpln4199-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmln5188,/katalog-produktov/pmln5188-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/antena-pre-hdv,/katalog-produktov/antena-pre-hdv-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/vozidlova-antena,/katalog-produktov/vozidlova-antena-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/rsn4001,/katalog-produktov/rsn4001-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hsn8145,/katalog-produktov/hsn8145-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/rln4836,/katalog-produktov/rln4836-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/rln4857,/katalog-produktov/rln4857-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/rkn4152,/katalog-produktov/rkn4152-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmle4476,/katalog-produktov/pmle4476-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmln5269,/katalog-produktov/pmln5269-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hkvn4041,/katalog-produktov/hkvn4041-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/gmvn5520,/katalog-produktov/gmvn5520-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hkvn4045,/katalog-produktov/hkvn4045-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmln5192,/katalog-produktov/pmln5192-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/epnn9286,/katalog-produktov/epnn9286-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmln5196,/katalog-produktov/pmln5196-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/gln7318,/katalog-produktov/gln7318-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/wpln4194,/katalog-produktov/wpln4194-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hln9073,/katalog-produktov/hln9073-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/mdhtn9000,/katalog-produktov/mdhtn9000-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/7580372e11,/katalog-produktov/7580372e11-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmln4605,/katalog-produktov/pmln4605-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/wadn4190,/katalog-produktov/wadn4190-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/bdn6720,/katalog-produktov/bdn6720-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/mdrln4941,/katalog-produktov/mdrln4941-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/mdrln4885,/katalog-produktov/mdrln4885-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hkvn4013,/katalog-produktov/hkvn4013-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hkvn4057,/katalog-produktov/hkvn4057-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hkvn4056,/katalog-produktov/hkvn4056-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hkvn4063,/katalog-produktov/hkvn4063-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hkvn4070,/katalog-produktov/hkvn4070-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hkvn4108,/katalog-produktov/hkvn4108-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hkvn4109,/katalog-produktov/hkvn4109-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/wpln4137,/katalog-produktov/wpln4137-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/rln5383,/katalog-produktov/rln5383-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/rln5384,/katalog-produktov/rln5384-archiv,katalog-archiv,mototrbo prebral cistu adresu
