stara_url,nova_url,typ,poznamka
/,/katalog-produktov,homepage,katalog
/autonomne-systemy-varovania-a-vyrozumenia-osob.html,/bezpecnostne-systemy-radiove-siete/autonomne-systemy-varovania,sluzba,rucne
/autonomne-systemy-varovania-a-vyrozumenia-osob/legislativa.html,/bezpecnostne-systemy-radiove-siete/autonomne-systemy-varovania,sluzba,rucne
/autonomne-systemy-varovania-a-vyrozumenia-osob/meranie-navrh-a-projektovanie.html,/bezpecnostne-systemy-radiove-siete/navrh-autonomnych-systemov,sluzba,rucne
/autonomne-systemy-varovania-a-vyrozumenia-osob/realizacia.html,/bezpecnostne-systemy-radiove-siete/autonomne-systemy-varovania,sluzba,rucne
/autonomne-systemy-varovania-a-vyrozumenia-osob/servis.html,/bezpecnostne-systemy-radiove-siete/autonomne-systemy-varovania,sluzba,rucne
/elektroinstalacne-prace-1.html,/bezpecnostne-systemy-radiove-siete/elektroinstalacne-prace,sluzba,rucne
/elektroinstalacne-prace-1/datove-rozvadzace.html,/bezpecnostne-systemy-radiove-siete/elektroinstalacne-prace,sluzba,rucne
/elektroinstalacne-prace-1/rozvody-nn.html,/bezpecnostne-systemy-radiove-siete/elektroinstalacne-prace,sluzba,rucne
/elektroinstalacne-prace-1/strukturovana-kabelaz.html,/bezpecnostne-systemy-radiove-siete/elektroinstalacne-prace,sluzba,rucne
/elektroinstalacne-prace-1/tv-a-sat-rozvody.html,/bezpecnostne-systemy-radiove-siete/elektroinstalacne-prace,sluzba,rucne
/elektronicke-sireny.html,/katalog-produktov/kategoria/elektronicke-sireny,kategoria,odvodene z produktov
/elektronicke-sireny/item/657-evs2.html,/katalog-produktov/evs2,produkt,"K2 ID, automaticky"
/elektronicke-sireny/item/659-evs-600.html,/katalog-produktov/evs-600,produkt,"K2 ID, automaticky"
/elektronicke-sireny/item/660-evs-900.html,/katalog-produktov/evs-900,produkt,"K2 ID, automaticky"
/elektronicke-sireny/item/661-evs-1200.html,/katalog-produktov/evs-1200,produkt,"K2 ID, automaticky"
/elektronicke-sireny/item/662-evs-1800.html,/katalog-produktov/evs-1800,produkt,"K2 ID, automaticky"
/evakuacny-rozhlas-a-ozvucenie-priestorov.html,/bezpecnostne-systemy-radiove-siete/evakuacny-rozhlas,sluzba,rucne
/evakuacny-rozhlasovy-system-sx-2000.html,/katalog-produktov,kategoria,"prazdna, na katalog"
/evakuacny-rozhlasovy-system-sx-2000/audio-jednotky.html,/katalog-produktov/kategoria/audio-jednotky,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-sx-2000/audio-jednotky/item/640-sx-2000ao.html,/katalog-produktov/sx-2000ao,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/audio-jednotky/item/641-sx-2100ai.html,/katalog-produktov/sx-2100ai,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/audio-jednotky/item/642-sx-2100ao.html,/katalog-produktov/sx-2100ao,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/mikrofonne-stanice.html,/katalog-produktov/kategoria/mikrofonne-stanice-133,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-sx-2000/mikrofonne-stanice/item/645-rm-200sa.html,/katalog-produktov/rm-200sa,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/mikrofonne-stanice/item/646-rm-200sf.html,/katalog-produktov/rm-200sf,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/moduly.html,/katalog-produktov/kategoria/moduly,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-sx-2000/moduly/item/647-rm-200rj.html,/katalog-produktov/rm-200rj,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/moduly/item/648-sx-200rm.html,/katalog-produktov/sx-200rm,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/moduly/item/649-d-921e.html,/katalog-produktov/d-921e,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/moduly/item/650-d-921f.html,/katalog-produktov/d-921f,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/moduly/item/651-d-922e.html,/katalog-produktov/d-922e,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/moduly/item/652-d-922f.html,/katalog-produktov/d-922f,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/moduly/item/653-d-936r.html,/katalog-produktov/d-936r,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/moduly/item/654-ev-200m.html,/katalog-produktov/ev-200m,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/systemove-napajanie.html,/katalog-produktov,kategoria,"prazdna, na katalog"
/evakuacny-rozhlasovy-system-sx-2000/systemove-riadiace-jednotky.html,/katalog-produktov/kategoria/systemove-riadiace-jednotky-130,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-sx-2000/systemove-riadiace-jednotky/item/637-sx-2000sm.html,/katalog-produktov/sx-2000sm,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/systemove-riadiace-jednotky/item/638-sx-2000ci.html,/katalog-produktov/sx-2000ci,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/systemove-riadiace-jednotky/item/639-sx-2000co.html,/katalog-produktov/sx-2000co,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/systemove-vykonove-zosilnovace.html,/katalog-produktov/kategoria/systemove-vykonove-zosilnovace-131,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-sx-2000/systemove-vykonove-zosilnovace/item/643-vp-2064.html,/katalog-produktov/vp-2064,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/systemove-vykonove-zosilnovace/item/644-vp-2122.html,/katalog-produktov/vp-2122,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/systemove-zosilnovace.html,/katalog-produktov/kategoria/systemove-zosilnovace,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-sx-2000/systemove-zosilnovace/item/830-vx-015da.html,/katalog-produktov/vx-015da,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/systemove-zosilnovace/item/831-vx-030da.html,/katalog-produktov/vx-030da,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-sx-2000/systemove-zosilnovace/item/832-vx-050da.html,/katalog-produktov/vx-050da,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000.html,/katalog-produktov,kategoria,"prazdna, na katalog"
/evakuacny-rozhlasovy-system-vm-3000/mikrofonne-stanice.html,/katalog-produktov/kategoria/mikrofonne-stanice,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vm-3000/mikrofonne-stanice/item/614-rm-200m.html,/katalog-produktov/rm-200m,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/mikrofonne-stanice/item/615-rm-210.html,/katalog-produktov/rm-210,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/mikrofonne-stanice/item/616-rm-300mf.html,/katalog-produktov/rm-300mf,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/mikrofonne-stanice/item/617-rm-320f.html,/katalog-produktov/rm-320f,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-napajanie.html,/katalog-produktov/kategoria/systemove-napajanie,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vm-3000/systemove-napajanie/item/611-vx-2000ds.html,/katalog-produktov/vx-2000ds,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-napajanie/item/612-vx-200ps.html,/katalog-produktov/vx-200ps,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-napajanie/item/613-vx-2000pf.html,/katalog-produktov/vx-2000pf,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-riadiace-jednotky.html,/katalog-produktov/kategoria/systemove-riadiace-jednotky,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vm-3000/systemove-riadiace-jednotky/item/603-vm-3240va.html,/katalog-produktov/vm-3240va,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-riadiace-jednotky/item/604-vm-3360va.html,/katalog-produktov/vm-3360va,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-riadiace-jednotky/item/605-vm-3240e.html,/katalog-produktov/vm-3240e,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-riadiace-jednotky/item/606-vm-3360e.html,/katalog-produktov/vm-3360e,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-vykonove-zosilnovace.html,/katalog-produktov/kategoria/systemove-vykonove-zosilnovace,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vm-3000/systemove-vykonove-zosilnovace/item/607-vp-200vx.html,/katalog-produktov/vp-200vx,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-vykonove-zosilnovace/item/608-vp-2241.html,/katalog-produktov/vp-2241,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-vykonove-zosilnovace/item/609-vp-2421.html,/katalog-produktov/vp-2421,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vm-3000/systemove-vykonove-zosilnovace/item/610-vp-200vx.html,/katalog-produktov/vp-200vx-610,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000.html,/katalog-produktov,kategoria,"prazdna, na katalog"
/evakuacny-rozhlasovy-system-vx-3000/ethernetove-prepinace.html,/katalog-produktov/kategoria/ethernetove-prepinace,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vx-3000/ethernetove-prepinace/item/838-oring-ies-2042fx-mm-sc.html,/katalog-produktov/oring-ies-2042fx-mm-sc,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/mikrofonne-stanice.html,/katalog-produktov/kategoria/mikrofonne-stanice-167,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vx-3000/mikrofonne-stanice/item/836-rm-200sf.html,/katalog-produktov/rm-200sf-836,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/mikrofonne-stanice/item/837-rm-300x.html,/katalog-produktov/rm-300x,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/mikrofonne-stanice/item/840-rm-210f.html,/katalog-produktov/rm-210f,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/mikrofonne-stanice/item/841-rm-320f.html,/katalog-produktov/rm-320f-841,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/moduly.html,/katalog-produktov/kategoria/moduly-166,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vx-3000/moduly/item/833-vx-300lo.html,/katalog-produktov/vx-300lo,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/systemove-napajanie.html,/katalog-produktov/kategoria/systemove-napajanie-165,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vx-3000/systemove-napajanie/item/834-vx-3000ds.html,/katalog-produktov/vx-3000ds,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/systemove-napajanie/item/835-kopia-vx-3150ds.html,/katalog-produktov/kopia-vx-3150ds,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/systemove-ramy.html,/katalog-produktov/kategoria/systemove-ramy,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vx-3000/systemove-ramy/item/827-vx-3004f.html,/katalog-produktov/vx-3004f,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/systemove-ramy/item/828-vx-3008f.html,/katalog-produktov/vx-3008f,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/systemove-ramy/item/829-vx-3016f.html,/katalog-produktov/vx-3016f,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/systemove-zosilnovace.html,/katalog-produktov/kategoria/systemove-zosilnovace,kategoria,odvodene z produktov
/evakuacny-rozhlasovy-system-vx-3000/systemove-zosilnovace/item/830-vx-015da.html,/katalog-produktov/vx-015da,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/systemove-zosilnovace/item/831-vx-030da.html,/katalog-produktov/vx-030da,produkt,"K2 ID, automaticky"
/evakuacny-rozhlasovy-system-vx-3000/systemove-zosilnovace/item/832-vx-050da.html,/katalog-produktov/vx-050da,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice.html,/katalog-produktov/kategoria/prenosne-radiostanice-analogove-vx,kategoria,odvodene z produktov
/prenosne-analogove-radiostanice/akumulatory-vx.html,/katalog-produktov/kategoria/prenosne-radiostanice-analogove-vx,kategoria,"prazdna, na nadradenu"
/prenosne-analogove-radiostanice/anteny-vx.html,/katalog-produktov/kategoria/anteny-vx,kategoria,odvodene z produktov
/prenosne-analogove-radiostanice/anteny-vx/item/797-aah72x502.html,/katalog-produktov/aah72x502,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/anteny-vx/item/798-aah72x503.html,/katalog-produktov/aah72x503,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/anteny-vx/item/799-aah73x501.html,/katalog-produktov/aah73x501,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/anteny-vx/item/800-aah73x502.html,/katalog-produktov/aah73x502,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/anteny-vx/item/801-aah73x503.html,/katalog-produktov/aah73x503,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/anteny-vx/item/802-aah73x504.html,/katalog-produktov/aah73x504,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/anteny-vx/item/803-aaj10x502.html,/katalog-produktov/aaj10x502,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/item/738-motorola-vx-261.html,/katalog-produktov/motorola-vx-261,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/item/739-motorola-vx-451.html,/katalog-produktov/motorola-vx-451,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/item/746-motorola-vx-454.html,/katalog-produktov/motorola-vx-454,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/item/747-motorola-vx-459.html,/katalog-produktov/motorola-vx-459,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/item/748-motorola-vx-264.html,/katalog-produktov/motorola-vx-264,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nabijacky-vx.html,/katalog-produktov/kategoria/prenosne-radiostanice-analogove-vx,kategoria,"prazdna, na nadradenu"
/prenosne-analogove-radiostanice/nahlavne-supravy-vx.html,/katalog-produktov/kategoria/prenosne-radiostanice-analogove-vx,kategoria,"prazdna, na nadradenu"
/prenosne-analogove-radiostanice/nosenie-vx.html,/katalog-produktov/kategoria/nosenie-vx,kategoria,odvodene z produktov
/prenosne-analogove-radiostanice/nosenie-vx/item/804-aaj14x501.html,/katalog-produktov/aaj14x501,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/805-aaj14x502.html,/katalog-produktov/aaj14x502,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/806-aaj14x505.html,/katalog-produktov/aaj14x505,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/807-aaj14x506.html,/katalog-produktov/aaj14x506,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/808-aaj14x503.html,/katalog-produktov/aaj14x503,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/809-aaj14x504.html,/katalog-produktov/aaj14x504,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/810-aaj14x507.html,/katalog-produktov/aaj14x507,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/811-aaj14x508.html,/katalog-produktov/aaj14x508,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/814-aam04x501.html,/katalog-produktov/aam04x501,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/815-aam04x502.html,/katalog-produktov/aam04x502,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/816-aam04x503.html,/katalog-produktov/aam04x503,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/nosenie-vx/item/817-aam04x504.html,/katalog-produktov/aam04x504,produkt,"K2 ID, automaticky"
/prenosne-analogove-radiostanice/repromikrofony-vx.html,/katalog-produktov/kategoria/prenosne-radiostanice-analogove-vx,kategoria,"prazdna, na nadradenu"
/prenosne-analogove-radiostanice/sluchadla-vx.html,/katalog-produktov/kategoria/prenosne-radiostanice-analogove-vx,kategoria,"prazdna, na nadradenu"
/prenosne-digitalne-radiostanice-evx.html,/katalog-produktov/kategoria/prenosne-radiostanice-digitalne-evx,kategoria,odvodene z produktov
/prenosne-digitalne-radiostanice-evx/akumulatory-evx.html,/katalog-produktov/kategoria/akumulatory-evx,kategoria,odvodene z produktov
/prenosne-digitalne-radiostanice-evx/akumulatory-evx/item/758-pmnn4468.html,/katalog-produktov/pmnn4468,produkt,"K2 ID, automaticky"
/prenosne-digitalne-radiostanice-evx/akumulatory-evx/item/775-aaj67x501.html,/katalog-produktov/aaj67x501,produkt,"K2 ID, automaticky"
/prenosne-digitalne-radiostanice-evx/akumulatory-evx/item/776-aaj68x501.html,/katalog-produktov/aaj68x501,produkt,"K2 ID, automaticky"
/prenosne-digitalne-radiostanice-evx/akumulatory-evx/item/777-aal01x501.html,/katalog-produktov/aal01x501,produkt,"K2 ID, automaticky"
/prenosne-digitalne-radiostanice-evx/anteny-evx.html,/katalog-produktov/kategoria/anteny-evx,kategoria,odvodene z produktov
/prenosne-digitalne-radiostanice-evx/anteny-evx/item/749-aae23x502.html,/katalog-produktov/aae23x502,produkt,"K2 ID, automaticky"
/prenosne-digitalne-radiostanice-evx/anteny-evx/item/750-aae23x506.html,/katalog-produktov/aae23x506,produkt,"K2 ID, automaticky"
/prenosne-digitalne-radiostanice-evx/anteny-evx/item/751-aae23x503.html,/katalog-produktov/aae23x503,produkt,"K2 ID, automaticky"
/prenosne-digitalne-radiostanice-evx/anteny-evx/item/752-aam23x502.html,/katalog-produktov/aam23x502,produkt,"K2 ID, automaticky"
