stara_url,nova_url,typ,poznamka
/component/seoglossary/3-radiostanice/1-ptt.html,/slovnik/ptt,slovnik,presne heslo
/component/seoglossary/3-radiostanice/2-monitor.html,/slovnik/monitor,slovnik,presne heslo
/component/seoglossary/3-radiostanice/3-scan.html,/slovnik/scan,slovnik,presne heslo
/component/seoglossary/3-radiostanice/4-uhf.html,/slovnik/uhf,slovnik,presne heslo
/component/seoglossary/3-radiostanice/31-remote-monitor.html,/slovnik/remote-monitor,slovnik,presne heslo
/component/seoglossary/3-radiostanice/32-text-message.html,/slovnik/text-message,slovnik,presne heslo
/component/seoglossary/5-anteny/21-heliflex.html,/slovnik/heliflex,slovnik,presne heslo
/component/seoglossary/3-radiostanice/18-presmerovanie-hovoru.html,/slovnik/presmerovanie-hovoru,slovnik,presne heslo
/component/seoglossary/3-radiostanice/17-nastavitelny-vykon.html,/slovnik/nastavitelny-vykon,slovnik,presne heslo
/component/seoglossary/3-radiostanice/5-vhf.html,/slovnik/vhf,slovnik,presne heslo
/component/seoglossary/3-radiostanice/33-radio-check.html,/slovnik/radio-check,slovnik,presne heslo
/component/seoglossary/3-radiostanice/6-whisper.html,/slovnik/whisper,slovnik,presne heslo
/component/seoglossary/3-radiostanice/7-vox.html,/slovnik/vox,slovnik,presne heslo
/component/seoglossary/3-radiostanice/8-escalert.html,/slovnik/escalert,slovnik,presne heslo
/component/seoglossary/3-radiostanice/9-talkaround.html,/slovnik/talkaround,slovnik,presne heslo
/component/seoglossary/3-radiostanice/10-lone-worker.html,/slovnik/lone-worker,slovnik,presne heslo
/component/seoglossary/3-radiostanice/11-quick-text-message.html,/slovnik/quick-text-message,slovnik,presne heslo
/component/seoglossary/4-systemy/12-capacity-plus.html,/slovnik/capacity-plus,slovnik,presne heslo
/component/seoglossary/3-radiostanice/13-emergency.html,/slovnik/emergency,slovnik,presne heslo
/component/seoglossary/3-radiostanice/14-transmit-interrupt.html,/slovnik/transmit-interrupt,slovnik,presne heslo
/component/seoglossary/4-systemy/15-ip-site-connect.html,/slovnik/ip-site-connect,slovnik,presne heslo
/component/seoglossary/4-systemy/16-linked-capacity-plus.html,/slovnik/linked-capacity-plus,slovnik,presne heslo
/component/seoglossary/3-radiostanice/19-status-message.html,/slovnik/status-message,slovnik,presne heslo
/component/seoglossary/3-radiostanice/20-timer.html,/slovnik/timer,slovnik,presne heslo
/component/seoglossary/5-anteny/22-flexible-whip.html,/slovnik/flexible-whip,slovnik,presne heslo
/component/seoglossary/5-anteny/23-wideband.html,/slovnik/wideband,slovnik,presne heslo
/component/seoglossary/5-anteny/24-stubby.html,/slovnik/stubby,slovnik,presne heslo
/component/seoglossary/5-anteny/25-helical.html,/slovnik/helical,slovnik,presne heslo
/component/seoglossary/3-radiostanice/26-x-pand.html,/slovnik/x-pand,slovnik,presne heslo
/component/seoglossary/3-radiostanice/27-automatic-multiple-site-selection.html,/slovnik/automatic-multiple-site-selection,slovnik,presne heslo
/component/seoglossary/3-radiostanice/28-selective-radio-inhibit.html,/slovnik/selective-radio-inhibit,slovnik,presne heslo
/component/seoglossary/3-radiostanice/29-dual-mode.html,/slovnik/dual-mode,slovnik,presne heslo
/component/seoglossary/3-radiostanice/30-talkgroup-scan.html,/slovnik/talkgroup-scan,slovnik,presne heslo
/component/seoglossary/3-radiostanice/34-group-call.html,/slovnik/group-call,slovnik,presne heslo
/component/seoglossary/3-radiostanice/35-private-call.html,/slovnik/private-call,slovnik,presne heslo
/component/seoglossary/3-radiostanice/36-external-alarm.html,/slovnik/external-alarm,slovnik,presne heslo
/component/seoglossary/3-radiostanice/37-intelligent-audio.html,/slovnik/intelligent-audio,slovnik,presne heslo
/component/seoglossary/3-radiostanice/38-dpl.html,/slovnik/dpl,slovnik,presne heslo
/component/seoglossary/3-radiostanice/40-mdc1200.html,/slovnik/mdc1200,slovnik,presne heslo
/component/seoglossary/4-systemy/41-enhanced-privacy.html,/slovnik/enhanced-privacy,slovnik,presne heslo
/component/seoglossary/3-radiostanice/42-select-5.html,/slovnik/select-5,slovnik,presne heslo
/component/seoglossary/3-radiostanice/43-ip54.html,/slovnik/ip54,slovnik,presne heslo
/component/seoglossary/3-radiostanice/44-ip55.html,/slovnik/ip55,slovnik,presne heslo
/component/seoglossary/3-radiostanice/45-ip57.html,/slovnik/ip57,slovnik,presne heslo
/component/seoglossary/3-radiostanice/46-ip67.html,/slovnik/ip67,slovnik,presne heslo
/component/seoglossary/3-radiostanice/47-ip56.html,/slovnik/ip56,slovnik,presne heslo
/component/seoglossary/3-radiostanice/48-security.html,/slovnik/security,slovnik,presne heslo
/component/seoglossary/5-anteny/49-monopol.html,/slovnik/monopol,slovnik,presne heslo
/component/seoglossary/5-anteny/50-psm.html,/slovnik/psm,slovnik,presne heslo
/component/seoglossary/3-radiostanice/52-5-5-90.html,/slovnik/5-5-90,slovnik,presne heslo
/component/seoglossary/*,/slovnik,slovnik,zvysok slovnika na prehlad
